id,team_id,year,xp_md,xp_pct,2pt_md,fg_lng,fg_blk
591,16,1991,29,96.7,0,54,1
592,18,1991,32,100.0,0,44,0
593,19,1991,40,100.0,0,50,1
594,30,1991,41,91.1,0,52,0
595,20,1991,31,100.0,0,53,0
596,22,1991,19,90.5,0,46,3
597,23,1991,29,96.7,0,53,1
598,24,1991,25,96.2,0,50,0
599,11,1991,56,100.0,0,53,0
600,26,1991,38,100.0,0,60,0
601,27,1991,27,96.4,0,54,0
602,28,1991,31,100.0,0,54,1
603,31,1991,34,97.1,0,50,0
604,0,1992,53,98.2,0,46,0
605,1,1992,34,100.0,0,50,0
606,2,1992,31,100.0,0,48,1
607,3,1992,43,97.7,0,54,2
608,4,1992,28,100.0,0,46,3
609,5,1992,29,96.7,0,51,0
610,6,1992,33,100.0,0,47,0
611,7,1992,28,96.6,0,49,1
612,8,1992,35,100.0,0,50,2
613,9,1992,39,100.0,0,52,0
614,10,1992,24,100.0,0,52,0
615,12,1992,47,97.9,0,53,1
616,13,1992,34,94.4,0,53,0
617,14,1992,40,90.9,0,50,3
618,15,1992,39,100.0,0,54,1
619,16,1992,36,100.0,0,47,0
620,18,1992,23,100.0,0,47,2
621,19,1992,30,100.0,0,52,1
622,30,1992,41,100.0,0,54,0
623,20,1992,30,100.0,0,53,0
624,22,1992,22,91.7,0,44,1
625,23,1992,28,100.0,0,54,3
626,24,1992,38,100.0,0,49,1
627,11,1992,30,100.0,0,53,0
628,26,1992,33,97.1,0,52,0
629,27,1992,14,100.0,0,43,0
630,28,1992,29,93.6,0,49,3
631,31,1992,45,100.0,0,52,1
632,0,1993,59,96.7,0,46,3
633,1,1993,21,95.4,0,55,0
634,2,1993,13,81.2,0,53,0
635,3,1993,36,97.3,0,59,0
636,4,1993,41,97.6,0,54,1
637,5,1993,36,100.0,0,53,0
638,6,1993,27,100.0,0,57,0
639,7,1993,37,100.0,0,55,2
640,8,1993,31,93.9,0,51,3
641,9,1993,37,100.0,0,52,2
642,10,1993,15,93.8,0,53,0
643,12,1993,40,97.6,0,52,0
644,13,1993,37,100.0,0,52,2
645,14,1993,31,88.6,0,48,0
646,15,1993,34,100.0,0,54,0
647,16,1993,28,96.6,0,54,2
648,18,1993,31,100.0,0,45,1
649,19,1993,28,100.0,0,53,1
650,30,1993,39,97.5,0,52,0
651,20,1993,35,100.0,0,54,0
652,22,1993,25,100.0,0,40,2
653,23,1993,27,93.1,0,53,1
654,24,1993,23,92.0,0,54,2
655,11,1993,24,92.3,0,51,0
656,26,1993,33,100.0,0,56,0
657,27,1993,29,100.0,0,55,0
658,28,1993,32,100.0,0,46,0
659,31,1993,27,96.4,0,51,0
660,0,1994,60,96.8,0,48,0
661,1,1994,24,100.0,0,52,1
